15 | Queensland Government, 2018 | pending | Littering also diminishes the use, enjoyment, and perceived value of public places, so the problem is not only about aesthetics but also about how people experience and trust shared spaces (Queensland Government, 2018).​
16 | Queensland Government, 2018 | pending | The significance further extends to pollution prevention because litter dropped in public places can be washed or blown into creeks and rivers, which contributes to land and waterway pollution beyond the original disposal location (Queensland Government, 2018).
18 | Queensland Government, 2018 | pending | Littering also creates real public sector costs, with communities spending millions of dollars each year on waste management and clean up that could otherwise support other services and amenities, so improving localised litter control can contribute to better resource allocation (Queensland Government, 2018).​
19 | Queensland Government, 2018 | pending | Even though the target class is constrained, the study remains significant because beverage containers are among commonly littered items in public settings, and a successful, measurable pipeline for one representative object class can serve as a validated baseline for later expansion to additional litter categories (Queensland Government, 2018).
48 | Galceran & Carreras, 2013 | pending | Coverage path planning is the process of finding a path that passes over all points in an area while avoiding obstacles, and it is the foundation that most commercial floor-cleaning robots are built on (Galceran & Carreras, 2013).
49 | Galceran & Carreras, 2013 | pending | The problem with this method is that it tends to produce many small and awkward sections, which will force the robot to make a large number of short turns and results in a longer total travel distance (Galceran & Carreras, 2013).
50 | Galceran & Carreras, 2013 | pending | A more common and efficient approach is the boustrophedon decomposition, where the robot divides a room into larger and simpler cells and cleans each one in a back-and-forth "mowing the lawn" pattern before moving to the next (Galceran & Carreras, 2013).
51 | Galceran & Carreras, 2013 | pending | This method reduces unnecessary turns and produces shorter overall paths compared to trapezoidal decomposition, which tends to create too many small cells (Galceran & Carreras, 2013).
52 | Galceran & Carreras, 2013 | pending | Some lower-cost robots skip structured planning entirely and move randomly until most of the floor has statistically been covered, though this becomes inefficient in larger spaces (Galceran & Carreras, 2013).
81 | Ma et al., 2018 | pending | Actual speed also depends on how much memory it uses, how often it reads and writes memory, and how well its layers are supported by the target processor (Ma et al., 2018).
82 | Ma et al., 2018 | pending | Therefore, both model size and measured latency or FPS on the real device need to be considered when choosing a model for embedded inference (Ma et al., 2018).
83 | Sandler et al., 2018 | pending | Its architecture focuses on reducing computation and memory while preserving enough representational power for detection tasks (Sandler et al., 2018).
84 | Sandler et al., 2018 | pending | The authors report object detection results on the COCO dataset using MobileNetV2 together with SSDLite and show that this combination can reach reasonable accuracy with clearly lower runtime on a phone‑class CPU compared to heavier SSD variants (Sandler et al., 2018).
85 | Ma et al., 2018 | pending | Instead of focusing only on reducing theoretical compute, it proposes simple design rules that lead to faster models on real devices, such as keeping channel widths balanced and avoiding too many small branches and element‑wise operations (Ma et al., 2018).
86 | Ma et al., 2018 | pending | Experiments on GPU and ARM platforms show that networks with very similar theoretical complexity can still have very different inference times, so accuracy is always reported together with measured speed for several model sizes (Ma et al., 2018).
87 | Ma et al., 2018 | pending | For embedded robotics, this indicates that a detector that appears small on paper may still be too slow in deployment if its structure does not match the hardware well (Ma et al., 2018)
94 | Sandler et al., 2018 | pending | The first is model size and approximate computation, which affects memory consumption and CPU load on the robot (Sandler et al., 2018).
95 | Ma et al., 2018 | pending | The second is measured speed on the target embedded platform, since different processors can react very differently to the same network design (Ma et al., 2018).
96 | Sandler et al., 2018 | pending | The third is detection accuracy on small objects, because litter items such as wrappers and can tabs occupy only a small part of the image and are often the first to be missed when models are compressed (Sandler et al., 2018).
105 | Ngo, 2026 | pending | In many practical indoor applications the robot operates over an approximately planar workspace, such as a table surface or a flat floor, and this structure can be exploited to simplify the transformation (Ngo, 2026).
106 | Ngo, 2026 | pending | A homography-based planar calibration method estimates a projective mapping between the image plane and the physical plane, so that any pixel corresponding to a point on the floor can be mapped directly to a real-world position in metric units (Ngo, 2026).
107 | Ngo, 2026 | pending | A recent study on planar coordinate calibration for robot arms shows that such a homography can be obtained by observing a calibration pattern placed on the working surface and fitting a 3×3 matrix that transforms image coordinates into world coordinates on the plane, which is sufficient for tasks such as picking objects lying on a flat table or floor (Ngo, 2026).
108 | Ngo, 2026 | pending | This mapping is conceptually illustrated in Figure 2.15, where a homography relates points on the floor plane to their projections in the camera image plane (Ngo, 2026).
136 | AranaCorp, 2021 | pending | In this project, these PWM signals are generated by a PCA9685‑based 16‑channel servo driver, which is controlled from the Raspberry Pi 4 over the I2C bus and configured in software using Adafruit’s ServoKit library (AranaCorp, 2021).
137 | AranaCorp, 2021 | pending | This arrangement allows the high‑current servo power rail to be supplied from a dedicated external supply, rather than drawing current directly from the Raspberry Pi 4’s GPIO pins, which would risk exceeding the board’s safe current limits (AranaCorp, 2021).
142 | AranaCorp, 2021 | pending | Its primary responsibility is to generate accurate PWM signals on multiple channels simultaneously, as the Raspberry Pi 4’s general‑purpose input/output (GPIO) pins are not designed to drive servo motors directly due to current limitations and the absence of dedicated hardware PWM channels for all pins (AranaCorp, 2021).
143 | AranaCorp, 2021 | pending | The direct GPIO PWM approach was eliminated due to the limited number of hardware PWM channels available on the Raspberry Pi 4 and the risk of timing jitter introduced by software‑generated PWM, which would degrade servo positioning accuracy over all six joints (AranaCorp, 2021).
144 | AranaCorp, 2021 | pending | Additionally, driving servos directly from the GPIO power rail risks exceeding the Raspberry Pi 4’s safe current output, which could damage the board or cause system instability during operation (AranaCorp, 2021).
